Population,Strain,Replicate_number,Evolution_treatment,dN/dS,dN/dS_spectrum.unaware
1,rpl19a,1,NL,1.088205648,0.864689136
2,rpl19a,2,NL,0.489692342,0.259406514
3,rpl19a,3,NL,0.489692403,0.518813352
4,rpl19a,4,NL,1.632308799,0.864689136
5,rpl19a,5,NL,0.435282155,0.21617221
6,pmr1,1,NL,0.285653773,0.504401897
7,pmr1,2,NL,0.279824128,0.288229624
8,pmr1,3,NL,1.142615974,0.494107884
9,pmr1,4,NL,0.571307827,0.864689136
10,pmr1,5,NL,0.652923257,0.288229624
11,sch9,1,NL,0.979385044,0.768612537
12,sch9,2,NL,0.326461441,0.224178481
13,sch9,3,NL,0.587630883,2.017608598
14,sch9,4,NL,0.42439989,0.461167407
15,sch9,5,NL,0.652923285,0.672535946
16,ypt6,1,NL,0.746197972,0.384306036
17,ypt6,2,NL,0.544102624,0.144114709
18,ypt6,3,NL,0.419736242,0.403521467
19,ypt6,4,NL,0.652923257,0.396315635
20,ypt6,5,NL,0.816154173,0.247053889
21,tor1,1,NL,1.632308673,0.288229598
22,tor1,2,NL,0,0.144114771
23,tor1,3,NL,0.734538693,0.504401897
24,tor1,4,NL,0.979385047,1.15291895
25,tor1,5,NL,0.233186764,0.256203987
26,tif2,1,NL,0.761743863,0.960765741
27,tif2,2,NL,1.305846834,0.461167407
28,tif2,3,NL,0.204038393,0.576459331
29,tif2,4,NL,0.761743863,0.384306213
30,tif2,5,NL,0.897769586,1.15291895
31,JD174,1,NL,0.652923257,0.468373057
32,JD174,2,NL,0.163230775,0.345875531
33,JD174,3,NL,0.391753875,0.504401897
34,JD174,4,NL,0.8488003,0.624497565
35,JD174,5,NL,0.734538693,1.297033865
36,BY4742,1,NL,0.253914434,0.720574216
37,BY4742,2,NL,0.217640935,0.518813352
38,BY4742,3,NL,0.652923229,0.720574266
39,BY4742,4,NL,0.8161541,0.247053889
40,BY4742,5,NL,0.233186764,0.672535946
41,rpl19a,1,L,1.632308673,0.432344406
42,rpl19a,2,L,0.571307827,0.384306125
43,rpl19a,3,L,0.8488003,0.749397172
44,rpl19a,4,L,0.408076868,0.749397172
45,rpl19a,5,L,1.142615934,1.008804047
46,pmr1,1,L,0.373098867,0.576459331
47,pmr1,2,L,0.391753729,1.03762704
48,pmr1,3,L,3.264617747,3.746987729
49,pmr1,4,L,1.175262189,1.008804049
50,pmr1,5,L,0.35613971,0.497851003
51,sch9,1,L,0.816154173,0.864689136
52,sch9,2,L,0.544102624,1.152918972
53,sch9,3,L,0.228522963,0.448357075
54,sch9,4,L,0.598512911,0.658810607
55,sch9,5,L,0.707333496,2.305838563
56,ypt6,1,L,0.652923201,0.807043137
57,ypt6,2,L,0.652923201,0.624497565
58,ypt6,3,L,0.761743796,0.936746582
59,ypt6,4,L,0.544102624,0.53528356
60,ypt6,5,L,0.816154136,0.432344467
61,tor1,1,L,0.530499992,0.432344406
62,tor1,2,L,2.285232508,0.864689121
63,tor1,3,L,0.571307827,0.461167407
64,tor1,4,L,0.195876817,0.288229522
65,tor1,5,L,0.718215581,0.57645924
66,tif2,1,L,0.290187936,0.360286928
67,tif2,2,L,0.373098867,0.576459301
68,tif2,3,L,0.734538693,0.288229573
69,tif2,4,L,1.013749505,0.786080149
70,tif2,5,L,0.652923257,0.720574165
71,JD174,1,L,0.761743863,0.324258224
72,JD174,2,L,0.408076868,0.480382691
73,JD174,3,L,0.652923257,1.44114895
74,JD174,4,L,1.523488152,0.576459301
75,JD174,5,L,0.217640872,0.288229445
76,BY4742,1,L,0.408076868,1.873493631
77,BY4742,2,L,0.367269166,0.658810607
78,BY4742,3,L,0.652923229,0.768612471
79,BY4742,4,L,0.734538693,0.92233508
80,BY4742,5,L,0.897769586,1.297033962
